T1	T4
0.2	0.5
NaN	0.6
1.0	0.4
1.0	0.4
1.0	1.0
0.25	NaN
0.8	0.5
1.0	1.0
0.8	0.4
1.0	0.4
1.0	0.4
1.0	0.4
0.4	0.6
0.8	1.0
1.0	0.4
1.0	0.5
1.0	0.4
1.0	0.5
0.4	1.0
1.0	0.6
1.0	0.3333333333
0.4	0.4
0.4	0.4
0.4	0.4
1.0	NaN
0.8	0.5
0.8	0.6
1.0	0.8
0.4	0.4
1.0	0.4
1.0	0.2
1.0	1.0
0.4	1.0
1.0	0.5
1.0	0.4
1.0	0.25
1.0	1.0
1.0	0.25
1.0	1.0
1.0	1.0
1.0	0.4
0.4	0.4
0.4	0.2
0.0	1.0
0.4	1.0
1.0	1.0
1.0	0.25
1.0	NaN
0.2	1.0
0.4	NaN
1.0	1.0
1.0	0.4
1.0	1.0
0.8	0.4
1.0	0.25
1.0	NaN
0.6	0.2
1.0	1.0
1.0	NaN
NaN	1.0
