S1	S2
0.4	0.8
1.0	0.6
1.0	0.6
0.6	0.4
1.0	0.6
1.0	0.3333333333
0.4	0.6
1.0	1.0
1.0	0.6
1.0	0.4
1.0	0.5
1.0	0.4
0.4	1.0
0.8	1.0
0.2	0.8
0.6	0.6
1.0	1.0
1.0	1.0
1.0	0.6
0.6	0.6
0.3333333333	1.0
0.6	0.6
1.0	1.0
1.0	0.6
0.6	1.0
0.8	1.0
0.6	0.8
0.8	0.8
0.6	1.0
1.0	0.8
1.0	1.0
0.8	0.6
0.8	1.0
0.8	0.8
1.0	1.0
1.0	1.0
0.25	0.25
1.0	1.0
0.8	1.0
1.0	1.0
0.8	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	NaN
1.0	1.0
1.0	1.0
0.8	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
1.0	1.0
0.3333333333	1.0
1.0	1.0
1.0	1.0
1.0	1.0
0.6	1.0
1.0	0.6
1.0	1.0
0.8	1.0
0.0	1.0
1.0	1.0
1.0	0.8
1.0	1.0
1.0	0.8
0.8	1.0
1.0	1.0
1.0	1.0
0.75	1.0
1.0	0.6
0.4	0.8
1.0	1.0
1.0	1.0
0.8	1.0
1.0	0.6
0.4	0.6
1.0	0.8
1.0	1.0
1.0	0.6
1.0	1.0
1.0	1.0
1.0	1.0
1.0	0.8
1.0	0.4
0.6	1.0
1.0	1.0
