C2,T4	C5,T1
0.5	0.4
0.6	0.4
0.4	0.4
0.4	0.4
1.0	0.4
NaN	0.4
0.5	0.25
1.0	1.0
0.4	1.0
0.4	0.0
0.4	0.8
0.4	0.8
0.6	1.0
1.0	1.0
0.4	1.0
0.5	1.0
0.4	0.4
0.5	0.25
1.0	1.0
0.6	0.6
0.3333333333	0.8
0.4	1.0
0.4	1.0
0.4	0.4
NaN	1.0
0.5	1.0
0.6	1.0
0.8	1.0
0.4	0.4
0.4	1.0
0.2	1.0
1.0	1.0
1.0	0.8
0.5	1.0
0.4	1.0
0.25	0.8
1.0	1.0
0.25	1.0
1.0	1.0
1.0	1.0
0.4	1.0
0.4	0.4
0.2	1.0
1.0	0.4
1.0	1.0
1.0	1.0
0.25	1.0
NaN	0.8
1.0	1.0
NaN	1.0
1.0	1.0
0.4	1.0
1.0	1.0
0.4	1.0
0.25	1.0
NaN	1.0
0.2	1.0
1.0	1.0
NaN	1.0
1.0	1.0
