observation,string,abstract,node,accuracy
1,M8R0V0_SEQKLE,A13,L2,0.6
2,M8R0V0_SEQKLE,A13,L2,0.5
3,M8R0V0_SEQKLE,A13,L2,1
4,M8R0V0_SEQKLE,A13,L2,1
5,M8R0V0_SEQKLE,A13,L2,1
6,M8R0V0_SEQKLE,A13,L2,1
7,M8R0V0_SEQKLE,A13,L2,0.8
8,M8R0V0_SEQKLE,A13,L2,0.6
9,M8R0V0_SEQKLE,A13,L2,1
10,M8R0V0_SEQKLE,A13,L2,1
11,M8R0V0_SEQKLE,A13,L2,0.6
12,M8R0V0_SEQKLE,A13,L2,1
13,M8R0V0_SEQKLE,A13,L2,1
14,M8R0V0_SEQKLE,A13,L2,1
15,M8R0V0_SEQKLE,A13,L2,0.8
16,M8R0V0_SEQKLE,A13,L2,0.8
17,M8R0V0_SEQKLE,A13,L2,0.8
18,M8R0V0_SEQKLE,A13,L2,1
19,M8R0V0_SEQKLE,A13,L2,0.8
20,M8R0V0_SEQKLE,A13,L2,0.6
21,M8R0V0_SEQKLE,A13,L2,0.8
22,M8R0V0_SEQKLE,A13,L2,0.8
23,M8R0V0_SEQKLE,A13,L2,0.6
24,M8R0V0_SEQKLE,A13,L2,0.6
25,M8R0V0_SEQKLE,A13,L2,1
26,M8R0V0_SEQKLE,A13,L2,1
27,M8R0V0_SEQKLE,A13,L2,1
28,M8R0V0_SEQKLE,A13,L2,0.8
29,M8R0V0_SEQKLE,A13,L2,1
30,M8R0V0_SEQKLE,A13,L2,1
1,M8R0V1_ADD,A13,L3,1
2,M8R0V1_ADD,A13,L3,1
3,M8R0V1_ADD,A13,L3,1
4,M8R0V1_ADD,A13,L3,0.8
5,M8R0V1_ADD,A13,L3,0.8
6,M8R0V1_ADD,A13,L3,1
7,M8R0V1_ADD,A13,L3,0.8
8,M8R0V1_ADD,A13,L3,0.8
9,M8R0V1_ADD,A13,L3,0.8
10,M8R0V1_ADD,A13,L3,0.8
11,M8R0V1_ADD,A13,L3,1
12,M8R0V1_ADD,A13,L3,0.8
13,M8R0V1_ADD,A13,L3,1
14,M8R0V1_ADD,A13,L3,1
15,M8R0V1_ADD,A13,L3,1
16,M8R0V1_ADD,A13,L3,1
17,M8R0V1_ADD,A13,L3,1
18,M8R0V1_ADD,A13,L3,1
19,M8R0V1_ADD,A13,L3,1
20,M8R0V1_ADD,A13,L3,0.5
21,M8R0V1_ADD,A13,L3,1
22,M8R0V1_ADD,A13,L3,1
23,M8R0V1_ADD,A13,L3,1
24,M8R0V1_ADD,A13,L3,0.6
25,M8R0V1_ADD,A13,L3,1
26,M8R0V1_ADD,A13,L3,1
27,M8R0V1_ADD,A13,L3,0.8
28,M8R0V1_ADD,A13,L3,1
29,M8R0V1_ADD,A13,L3,1
30,M8R0V1_ADD,A13,L3,1
1,M8R1V0_SEQKLE,A14,L2,0.6
2,M8R1V0_SEQKLE,A14,L2,1
3,M8R1V0_SEQKLE,A14,L2,1
