code	value
M4R0V0_QST	1.0
M4R0V0_QST	0.8
M4R0V0_QST	1.0
M4R0V0_QST	NaN
M4R0V0_QST	0.8
M4R0V0_QST	1.0
M4R0V0_QST	0.6
M4R0V0_QST	0.5
M4R0V0_QST	0.6
M4R0V0_QST	0.6
M4R0V0_QST	1.0
M4R0V0_QST	1.0
M4R0V0_QST	0.75
M4R0V0_QST	1.0
M4R0V0_QST	1.0
M4R0V0_QST	0.3333333333
M4R0V0_QST	0.6
M4R0V0_QST	0.4
M4R0V0_QST	0.8
M4R0V0_QST	0.6
M4R0V0_QST	0.4
M4R0V0_QST	0.8
M4R0V0_QST	1.0
M4R0V0_QST	1.0
M4R0V0_QST	0.8
M4R0V0_QST	1.0
M4R0V0_QST	0.6
M4R0V0_QST	1.0
M4R0V0_QST	1.0
M4R0V0_QST	1.0
M4R0V1_OR	0.8
M4R0V1_OR	0.8
M4R0V1_OR	1.0
M4R0V1_OR	0.25
M4R0V1_OR	1.0
M4R0V1_OR	0.8
M4R0V1_OR	0.75
M4R0V1_OR	1.0
M4R0V1_OR	1.0
M4R0V1_OR	0.6
M4R0V1_OR	1.0
M4R0V1_OR	1.0
M4R0V1_OR	0.8
M4R0V1_OR	1.0
M4R0V1_OR	1.0
M4R0V1_OR	0.6
M4R0V1_OR	1.0
M4R0V1_OR	1.0
M4R0V1_OR	1.0
M4R0V1_OR	1.0
M4R0V1_OR	1.0
M4R0V1_OR	1.0
M4R0V1_OR	0.6
M4R0V1_OR	0.6
M4R0V1_OR	1.0
M4R0V1_OR	0.75
M4R0V1_OR	0.2
M4R0V1_OR	1.0
M4R0V1_OR	1.0
M4R0V1_OR	0.8
M4R0V2_DBB	0.6
M4R0V2_DBB	1.0
M4R0V2_DBB	0.6
M4R0V2_DBB	0.6
M4R0V2_DBB	1.0
M4R0V2_DBB	0.25
M4R0V2_DBB	0.6
M4R0V2_DBB	0.8
M4R0V2_DBB	0.6
M4R0V2_DBB	NaN
M4R0V2_DBB	1.0
M4R0V2_DBB	1.0
M4R0V2_DBB	1.0
M4R0V2_DBB	1.0
M4R0V2_DBB	1.0
M4R0V2_DBB	1.0
M4R0V2_DBB	1.0
M4R0V2_DBB	0.6
M4R0V2_DBB	1.0
M4R0V2_DBB	1.0
M4R0V2_DBB	0.6
M4R0V2_DBB	0.4
M4R0V2_DBB	0.8
M4R0V2_DBB	1.0
M4R0V2_DBB	1.0
M4R0V2_DBB	1.0
M4R0V2_DBB	0.8
M4R0V2_DBB	0.8
M4R0V2_DBB	1.0
M4R0V2_DBB	1.0
