code	value
M4R1V0_DBB	1.0
M4R1V0_DBB	0.6
M4R1V0_DBB	1.0
M4R1V0_DBB	0.6
M4R1V0_DBB	1.0
M4R1V0_DBB	0.4
M4R1V0_DBB	0.4
M4R1V0_DBB	0.8
M4R1V0_DBB	1.0
M4R1V0_DBB	0.8
M4R1V0_DBB	0.8
M4R1V0_DBB	0.8
M4R1V0_DBB	1.0
M4R1V0_DBB	1.0
M4R1V0_DBB	0.75
M4R1V0_DBB	0.5
M4R1V0_DBB	1.0
M4R1V0_DBB	1.0
M4R1V0_DBB	1.0
M4R1V0_DBB	0.4
M4R1V0_DBB	0.6
M4R1V0_DBB	1.0
M4R1V0_DBB	1.0
M4R1V0_DBB	1.0
M4R1V0_DBB	1.0
M4R1V0_DBB	1.0
M4R1V0_DBB	1.0
M4R1V0_DBB	1.0
M4R1V0_DBB	1.0
M4R1V0_DBB	1.0
M4R1V1_OR	1.0
M4R1V1_OR	1.0
M4R1V1_OR	0.4
M4R1V1_OR	1.0
M4R1V1_OR	1.0
M4R1V1_OR	1.0
M4R1V1_OR	1.0
M4R1V1_OR	0.4
M4R1V1_OR	1.0
M4R1V1_OR	0.8
M4R1V1_OR	1.0
M4R1V1_OR	1.0
M4R1V1_OR	1.0
M4R1V1_OR	1.0
M4R1V1_OR	0.4
M4R1V1_OR	1.0
M4R1V1_OR	1.0
M4R1V1_OR	1.0
M4R1V1_OR	1.0
M4R1V1_OR	1.0
M4R1V1_OR	0.8
M4R1V1_OR	1.0
M4R1V1_OR	0.8
M4R1V1_OR	1.0
M4R1V1_OR	1.0
M4R1V1_OR	1.0
M4R1V1_OR	1.0
M4R1V1_OR	0.6
M4R1V1_OR	0.8
M4R1V1_OR	1.0
M4R1V2_QST	0.8
M4R1V2_QST	0.6
M4R1V2_QST	1.0
M4R1V2_QST	0.4
M4R1V2_QST	1.0
M4R1V2_QST	0.6
M4R1V2_QST	0.4
M4R1V2_QST	0.6
M4R1V2_QST	0.6
M4R1V2_QST	1.0
M4R1V2_QST	0.6
M4R1V2_QST	1.0
M4R1V2_QST	1.0
M4R1V2_QST	0.6
M4R1V2_QST	1.0
M4R1V2_QST	0.8
M4R1V2_QST	0.75
M4R1V2_QST	1.0
M4R1V2_QST	0.4
M4R1V2_QST	0.8
M4R1V2_QST	1.0
M4R1V2_QST	0.8
M4R1V2_QST	1.0
M4R1V2_QST	1.0
M4R1V2_QST	0.6
M4R1V2_QST	0.6
M4R1V2_QST	1.0
M4R1V2_QST	0.8
M4R1V2_QST	0.4
M4R1V2_QST	1.0
