regex,refactoring,accuracy
R2,DEFAULT,1.00
R2,DEFAULT,0.00
R2,DEFAULT,1.00
R2,DEFAULT,1.00
R2,DEFAULT,1.00
R2,DEFAULT,1.00
R2,DEFAULT,1.00
R2,DEFAULT,0.00
R2,DEFAULT,0.00
R2,DEFAULT,1.00
R2,DEFAULT,1.00
R2,DEFAULT,0.00
R2,DEFAULT,1.00
R2,DEFAULT,1.00
R2,DEFAULT,1.00
R2,DEFAULT,1.00
R2,DEFAULT,0.00
R2,DEFAULT,1.00
R2,DEFAULT,0.00
R2,DEFAULT,0.00
R2,DEFAULT,1.00
R2,DEFAULT,1.00
R2,DEFAULT,1.00
R2,DEFAULT,0.00
R2,DEFAULT,0.00
R2,DEFAULT,0.00
R2,DEFAULT,1.00
R2,DEFAULT,1.00
R2,DEFAULT,1.00
R2,DEFAULT,1.00
R2,CCC,1.00
R2,CCC,1.00
R2,CCC,0.00
R2,CCC,0.00
R2,CCC,1.00
R2,CCC,0.00
R2,CCC,1.00
R2,CCC,0.00
R2,CCC,1.00
R2,CCC,1.00
R2,CCC,0.00
R2,CCC,1.00
R2,CCC,1.00
R2,CCC,1.00
R2,CCC,1.00
R2,CCC,1.00
R2,CCC,0.00
R2,CCC,1.00
R2,CCC,0.00
R2,CCC,1.00
R2,CCC,0.00
R2,CCC,0.00
R2,CCC,1.00
R2,CCC,1.00
R2,CCC,1.00
R2,CCC,0.00
R2,CCC,0.00
R2,CCC,1.00
R2,CCC,0.00
R2,CCC,1.00
R1,DEFAULT,1.00
R1,DEFAULT,1.00
R1,DEFAULT,1.00
R1,DEFAULT,1.00
R1,DEFAULT,0.00
R1,DEFAULT,1.00
R1,DEFAULT,0.00
R1,DEFAULT,1.00
R1,DEFAULT,1.00
R1,DEFAULT,0.00
R1,DEFAULT,1.00
R1,DEFAULT,1.00
R1,DEFAULT,1.00
R1,DEFAULT,1.00
R1,DEFAULT,1.00
R1,DEFAULT,1.00
R1,DEFAULT,1.00
R1,DEFAULT,0.00
R1,DEFAULT,1.00
R1,DEFAULT,1.00
R1,DEFAULT,1.00
R1,DEFAULT,0.00
R1,DEFAULT,1.00
R1,DEFAULT,1.00
R1,DEFAULT,1.00
R1,DEFAULT,1.00
R1,DEFAULT,1.00
R1,DEFAULT,1.00
R1,DEFAULT,1.00
R1,DEFAULT,0.00
R1,CCC,1.00
R1,CCC,0.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,0.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,0.00
R1,CCC,0.00
R1,CCC,0.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R1,CCC,1.00
R0,DEFAULT,1.00
R0,DEFAULT,0.00
R0,DEFAULT,1.00
R0,DEFAULT,1.00
R0,DEFAULT,1.00
R0,DEFAULT,1.00
R0,DEFAULT,1.00
R0,DEFAULT,0.00
R0,DEFAULT,1.00
R0,DEFAULT,1.00
R0,DEFAULT,1.00
R0,DEFAULT,1.00
R0,DEFAULT,1.00
R0,DEFAULT,1.00
R0,DEFAULT,1.00
R0,DEFAULT,0.00
R0,DEFAULT,1.00
R0,DEFAULT,1.00
R0,DEFAULT,0.00
R0,DEFAULT,0.00
R0,DEFAULT,1.00
R0,DEFAULT,1.00
R0,DEFAULT,1.00
R0,DEFAULT,1.00
R0,DEFAULT,1.00
R0,DEFAULT,1.00
R0,DEFAULT,1.00
R0,DEFAULT,1.00
R0,DEFAULT,1.00
R0,DEFAULT,1.00
R0,CCC,0.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,0.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,0.00
R0,CCC,0.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,0.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,1.00
R0,CCC,0.00
R0,CCC,0.00
R0,CCC,1.00
R0,CCC,0.00
R0,CCC,0.00
R0,CCC,0.00
