'[\\041-\\176]+:$'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'^(From |[\\041-\\071\\073-\\176]{1,}:|[\\t ])'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511
'(\\033|~{)'	305,619,927,1292,1399,1431,1439,1469,1505
'[\\000-\\037]'	12,287,425,602,1050,1054,1087,1509,1580
'[\\000-\\037\\177-\\377]'	412,759,852,961,1221,1511
'\\s*#define[ \t]+[^_]*_width[ \t]+(?P<width>[0-9]+)[\r\n]+#define[ \t]+[^_]*_height[ \t]+(?P<height>[0-9]+)[\r\n]+(?P<hotspot>#define[ \t]+[^_]*_x_hot[ \t]+(?P<xhot>[0-9]+)[\r\n]+#define[ \t]+[^_]*_y_hot[ \t]+(?P<yhot>[0-9]+)[\r\n]+)?[\\000-\\377]*_bits\\[\\]'	441,628,1054,1204,1580
'[\\0\\t\\r\\014\\n ]+'	642,776,971,1203
'/{0,2}[^]\\0\\t\\r\\v\\n ()<>{}/%[]+'	642,776,971,1203
'[\\0\\n\\r\\032\\\'\\"\\\\]'	779,1247,1407
'[()\\134]'	1386
'\\033\\[(\\d|;)+?m'	1580
'L"\\\\0(\\d)" L"([^"]*)"'	1209
'[\\000-\\037&<>()"\\042\\047\\134\\177-\\377]'	1386
'<input value=\\\\042(.*?) \\(.*?@(-?\\d+\\.\\d+,-?\\d+\\.\\d+)'	456
