'\nmd5_data = {\n([^}]+)}'	55,77,121,147,155,162,181,198,200,201,217,252,259,296,302,331,378,390,409,462,498,524,538,548,599,628,690,728,735,752,774,819,842,849,865,868,878,903,908,914,932,933,958,991,992,1007,1012,1015,1032,1086,1087,1115,1119,1123,1158,1194,1218,1268,1282,1288,1308,1330,1341,1416,1426,1434,1518,1638,1644
'([\\\\"]|[^\\ -~])'	55,113,147,181,233,247,251,287,288,302,323,340,355,383,422,436,507,510,580,594,602,622,627,729,752,759,780,849,852,866,878,919,927,935,961,989,1003,1004,1007,1012,1015,1025,1032,1033,1054,1078,1086,1087,1122,1158,1184,1194,1199,1221,1247,1269,1328,1469,1495,1498,1501,1509,1511,1517,1580,1634
'(-?(?:0|[1-9]\\d*))(\\.\\d+)?([eE][-+]?\\d+)?'	55,113,233,287,288,302,323,340,355,383,422,436,507,510,580,594,602,622,627,729,752,759,780,849,852,866,878,927,935,961,989,1003,1004,1007,1012,1015,1025,1032,1033,1054,1078,1086,1087,1122,1158,1184,1194,1199,1221,1247,1269,1328,1469,1495,1498,1501,1509,1511,1517,1580,1634
'[^]]+?\\] +([0-9.]+): (\\w+) <-(\\w+)'	271,279,280,282,318,346,367,406,442,495,569,586,590,601,652,667,751,762,791,799,848,855,876,937,952,1018,1040,1041,1098,1103,1105,1106,1116,1131,1167,1206,1236,1237,1306,1333,1334,1356,1360,1370,1390,1400,1440,1467,1514,1556,1562,1568,1581,1599,1610,1622,1624,1626,1627,1643
'<([^>]*)>: \\[0x([0-9a-f]+)-0x([0-9a-f]+)\\]'	271,279,280,282,318,346,367,406,442,495,569,586,590,601,652,667,751,762,791,799,848,855,876,937,952,1018,1041,1098,1103,1105,1106,1116,1131,1167,1206,1236,1237,1306,1333,1334,1356,1360,1370,1390,1440,1467,1514,1556,1562,1581,1599,1610,1622,1624,1626,1627,1643
'^[ ]*(#.*)?$'	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,961,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'(^|.*:)\\s*\\w*("|\')'	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,961,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'\n        # Source consists of a PS1 line followed by zero or more PS2 lines.\n        (?P<source>\n            (?:^(?P<indent> [ ]*) >>>    .*)    # PS1 line\n            (?:\\n           [ ]*  \\.\\.\\. .*)*)  # PS2 lines\n        \\n?\n        # Want consists of any non-blank lines that do not start with PS1.\n        (?P<want> (?:(?![ ]*$)    # Not a blank line\n                     (?![ ]*>>>)  # Not a line starting with PS1\n                     .*$\\n?       # But any other line\n                  )*)\n        '	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,961,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'[^:]*:'	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,961,1004,1012,1033,1050,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'(?m)^[ ]*(?=\n)'	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'<doctest (?P<name>[\\w\\.]+)\\[(?P<examplenum>\\d+)\\]>$'	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,961,1004,1012,1033,1050,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'^(([^:/?#]+):)?(//([^/?#]*))?([^?#]*)(\\?([^#]*))?(#(.*))?'	147,181,220,225,278,287,296,323,355,432,436,510,559,602,774,814,819,925,927,936,995,1003,1068,1104,1150,1211,1247,1263,1269,1301,1328,1366,1439,1469,1495,1498,1509,1536,1555,1580
'coding[:=]\\s*([-\\w.]+)'	101,147,181,251,302,323,355,422,634,757,842,849,866,878,992,1004,1012,1054,1086,1087,1104,1158,1184,1257,1263,1290,1386,1415,1427,1436,1469,1495,1517,1536,1580,1594,1621,1634
'[-\\s]+'	82,89,190,247,302,323,355,391,422,552,591,606,819,849,866,872,878,919,1004,1007,1012,1021,1074,1075,1086,1158,1184,1223,1285,1395,1420,1468,1495,1517,1580,1634
'[^\\w\\s-]'	13,21,82,89,190,236,247,302,323,355,422,552,606,849,866,878,919,1004,1007,1012,1021,1074,1075,1086,1158,1184,1223,1285,1395,1420,1468,1495,1517,1580,1614,1634
'(<[^<>]*)/>'	22,38,55,60,64,65,72,94,126,225,273,287,340,472,510,527,602,683,691,707,774,790,881,928,1068,1122,1150,1169,1199,1269,1300,1469,1498,1509,1557
'<!\\s+([^<>]*)>'	22,38,55,60,64,65,72,94,126,225,273,287,340,472,510,527,602,683,691,707,774,790,881,928,1068,1122,1150,1169,1199,1269,1300,1469,1498,1509,1557
'^<\\?.*encoding=[\'"](.*?)[\'"].*\\?>'	22,38,55,60,64,65,72,94,126,220,340,472,527,683,691,707,790,881,928,1068,1122,1150,1169,1199,1269,1469,1498,1557
'(?:\\r\\n)?[ \\t]+'	220,323,355,436,510,559,728,814,925,927,936,995,1003,1068,1104,1150,1211,1269,1301,1328,1416,1439,1469,1495,1498,1536,1555
'[ \\(\\)<>@,;:\\\\"/\\[\\]\\?=]'	12,82,89,287,323,355,412,422,602,759,852,866,961,1004,1054,1074,1075,1087,1184,1221,1495,1509,1511,1517,1544,1580
'[?/:|]+'	220,323,355,436,510,559,814,925,927,936,995,1003,1068,1104,1150,1211,1269,1301,1328,1439,1469,1495,1498,1536,1555
'&(#?[xX]?(?:[0-9a-fA-F]+|\\w{1,8}));'	31,287,302,323,355,381,422,476,602,732,849,866,878,1004,1012,1054,1086,1087,1158,1184,1495,1509,1517,1580,1634
'^(\\s*def\\s)|(.*(?<!\\w)lambda(:|\\s))|^(\\s*@)'	12,287,381,412,422,602,747,759,807,852,961,992,1054,1087,1104,1221,1257,1386,1415,1469,1509,1511,1517,1536,1580
'^(?:\\s*(?:,\\s*)?([^ \\t\\r\\n=]+)\\s*=\\s*\\"?((?<=\\")(?:[^\\\\\\"]|\\\\.)*?(?=\\")|(?<!\\")[^ \\t\\r\\n,]+(?!\\"))\\"?)(.*)$'	220,323,355,436,510,559,814,925,927,936,995,1003,1068,1104,1150,1211,1269,1301,1328,1439,1469,1495,1498,1536,1555
'^(?:\\s*(?:,\\s*)?([^\\0-\\x1f\\x7f-\\xff()<>@,;:\\\\\\"/[\\]?={} \\t]+)\\s*=\\s*\\"?((?<=\\")(?:[^\\0-\\x08\\x0A-\\x1f\\x7f-\\xff\\\\\\"]|\\\\[\\0-\\x7f])*?(?=\\")|(?<!\\")[^\\0-\\x1f\\x7f-\\xff()<>@,;:\\\\\\"/[\\]?={} \\t]+(?!\\"))\\"?)(.*)$'	220,323,355,436,510,559,814,925,927,936,995,1003,1068,1104,1150,1211,1269,1301,1328,1439,1469,1495,1498,1536,1555
'[*?[]'	12,93,287,308,322,381,412,467,505,534,602,743,759,852,961,1054,1087,1216,1221,1240,1466,1509,1511,1580
'[&<]'	12,43,190,287,330,381,412,413,510,602,759,774,852,961,1054,1076,1087,1221,1509,1511,1580,1638
'[\\s,]'	12,232,287,306,322,412,467,505,534,602,759,852,896,961,1007,1054,1087,1221,1466,1469,1509,1511
'[^a-zA-Z0-9]'	302,322,323,341,355,422,467,505,534,757,826,866,913,1004,1087,1158,1248,1328,1466,1495,1517
u'^(?:!|&|\\*)$'	12,42,82,89,139,140,148,287,580,602,729,1004,1074,1075,1210,1235,1248,1328,1444,1495,1509
"(^|\\W)`(.*?)'(\\W|$)"	412,533,587,618,759,793,818,852,896,961,1007,1015,1032,1080,1172,1221,1266,1296,1428,1493,1511
'\\s*(\\w*|\\w(\\w|\\.)*\\w)\\s*::'	412,533,587,618,759,793,818,852,896,961,1007,1015,1032,1080,1172,1221,1266,1296,1428,1493,1511
'(?<![\\w])(\\d+)L(?![\\w])'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1158,1184,1495,1517,1580,1634
'(<a [^>]*?)target=[^\\s>]+'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1158,1184,1495,1517,1580,1634
'\\sCONSTRAINT `[^`]*` FOREIGN KEY \\(`([^`]*)`\\) REFERENCES `([^`]*)` \\(`([^`]*)`\\)'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1158,1184,1495,1517,1580,1634
'[<>]'	12,287,341,412,413,510,602,759,767,774,852,961,1054,1076,1087,1221,1248,1509,1511
'[\\\\].'	12,287,412,602,619,759,852,869,961,1054,1087,1221,1292,1415,1439,1469,1509,1511,1580
'<[^>]*?>'	82,89,302,323,355,403,422,582,849,866,878,1004,1074,1075,1184,1453,1495,1517,1634
'[^A-Za-z0-9.]+'	12,287,487,498,602,662,1033,1054,1087,1257,1263,1290,1415,1469,1509,1536,1580,1594,1634
'(<!--.*?-->|<[^>]*>)'	96,113,147,181,251,252,487,639,1087,1104,1257,1349,1386,1415,1469,1495,1536,1555,1580
'\\$(\\w+|\\{[^}]*\\})'	12,251,287,381,412,422,602,662,759,800,852,961,1033,1054,1087,1221,1509,1511,1517
'(?:^|(?<=[\\.\\?\\!] ))([a-z])'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1184,1495,1517,1580,1634
'^(?:1-?)?(\\d{3})[-\\.]?(\\d{3})[-\\.]?(\\d{4})$'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1158,1184,1495,1517,1634
'url="([^"]+)"'	251,422,662,800,1033,1087,1104,1188,1257,1263,1290,1386,1415,1517,1536,1580,1594,1634
'%\\(([^)]*)\\)s'	119,332,436,602,642,689,730,747,927,971,1003,1007,1015,1032,1203,1256,1269,1498
"[^'\\\\]*(?:\\\\.[^'\\\\]*)*'"	12,101,251,287,381,412,518,602,759,787,852,961,1054,1087,1221,1509,1511,1580
'[^"\\\\]*(?:\\\\.[^"\\\\]*)*"'	12,101,251,287,381,412,518,602,759,787,852,961,1054,1087,1221,1509,1511,1580
'(\\\'[^\\\']*\\\'|"[^"]*")\\s*'	12,43,287,330,381,412,510,602,759,774,852,961,1054,1087,1221,1509,1511,1580
'\n        \\$(?:\n          (?P<escaped>\\$)              |   # Two $ signs\n          (?P<named>[_a-z][_a-z0-9]*)  |   # $name format\n          {(?P<braced>[^}]*)}              # ${name} format\n        )\n        '	119,332,436,602,642,689,730,747,927,971,1003,1007,1015,1032,1203,1256,1269,1498
u'^[^(]*'	283,332,339,356,436,518,538,670,689,747,787,832,975,1000,1247,1288,1495
'&([^;]+);'	251,252,391,487,639,992,1087,1104,1169,1257,1386,1415,1469,1495,1536,1555,1580
'#egg=([^&]*)'	251,422,662,800,1033,1104,1188,1257,1263,1290,1386,1415,1517,1536,1580,1594,1634
'([.\\w-]+)\\s*(.*)$'	251,422,662,800,1033,1104,1188,1257,1263,1290,1386,1415,1517,1536,1580,1594,1634
'((^|[^%])(%%)*%[sy])'	302,323,355,422,425,849,866,878,1004,1012,1086,1158,1184,1495,1517,1580,1634
'<title>[^<]*Revision \\d+:'	251,422,662,800,1033,1104,1188,1257,1263,1290,1386,1415,1517,1536,1580,1594,1634
'([\\w\\d\\.-]+)\\s*([\\d]+):.*$'	251,422,662,800,1033,1104,1188,1257,1263,1290,1386,1415,1517,1536,1580,1594,1634
'^([\\w., ]+=)?\\s*[\\w\\.]+\\(.*\\)$'	283,332,356,436,518,538,550,670,689,747,787,832,975,1000,1247,1288,1495
'&([a-zA-Z][-.a-zA-Z0-9]*)[^a-zA-Z0-9]'	12,43,287,381,412,510,602,759,774,852,961,1054,1087,1221,1509,1511,1580
'href=(?:"([^"]*)"|\'([^\']*)\'|([^>\\s\\n]*))'	251,422,662,800,1033,1104,1188,1257,1263,1290,1386,1415,1517,1536,1580,1594,1634
