'[-+\\d.]'	557
'^[-\\w/]+$'	82,89,1004,1074,1075,1495
'<doctest (?P<name>[\\w\\.]+)\\[(?P<examplenum>\\d+)\\]>$'	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,961,1004,1012,1033,1050,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'coding[:=]\\s*([-\\w.]+)'	101,147,181,251,302,323,355,422,634,757,842,849,866,878,992,1004,1012,1054,1086,1087,1104,1158,1184,1257,1263,1290,1386,1415,1427,1436,1469,1495,1517,1536,1580,1594,1621,1634
'[-\\s]+'	82,89,190,247,302,323,355,391,422,552,591,606,819,849,866,872,878,919,1004,1007,1012,1021,1074,1075,1086,1158,1184,1223,1285,1395,1420,1468,1495,1517,1580,1634
'[\\s,]'	12,232,287,306,322,412,467,505,534,602,759,852,896,961,1007,1054,1087,1221,1466,1469,1509,1511
'(?<![\\w])(\\d+)L(?![\\w])'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1158,1184,1495,1517,1580,1634
'([.\\w-]+)\\s*(.*)$'	251,422,662,800,1033,1104,1188,1257,1263,1290,1386,1415,1517,1536,1580,1594,1634
'([\\w\\d\\.-]+)\\s*([\\d]+):.*$'	251,422,662,800,1033,1104,1188,1257,1263,1290,1386,1415,1517,1536,1580,1594,1634
'^([\\w., ]+=)?\\s*[\\w\\.]+\\(.*\\)$'	283,332,356,436,518,538,550,670,689,747,787,832,975,1000,1247,1288,1495
'[\\d.]+'	12,287,412,602,759,852,961,1054,1087,1221,1263,1290,1509,1511,1580,1594
'\\?|[-+]?[.\\w]+$'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1580,1634
'.*; charset=([\\w\\d-]+);?'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1580,1634
'.+UNIT ?\\["(?P<unit_name>[\\w \\\'\\(\\)]+)", ?(?P<unit>[\\d\\.]+)(,AUTHORITY\\["(?P<unit_auth_name>[\\w \\\'\\(\\)]+)","(?P<unit_auth_val>\\d+)"\\])?\\]([\\w ]+)?(,AUTHORITY\\["(?P<auth_name>[\\w \\\'\\(\\)]+)","(?P<auth_val>\\d+)"\\])?\\]$'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1580,1634
'^[-\\w]+$'	82,89,302,323,355,422,849,866,878,1004,1074,1075,1495,1517,1634
'[\\-\\s\\(\\)]'	302,323,355,422,849,866,878,1004,1012,1086,1158,1184,1495,1517,1634
'^(\\s+)?\\{[\\s\\w,\\[\\]\\{\\}\\-\\."\\\':]+\\}(\\s+)?$'	302,323,355,422,849,866,878,1004,1012,1086,1184,1495,1517,1580,1634
'[\\s.]'	302,323,355,422,849,866,878,1004,1012,1086,1158,1495,1517,1634
'^[\\d,]+$'	302,323,355,422,849,866,878,1004,1012,1086,1495,1517,1580,1634
'coding[:=]\\s*([-\\w_.]+)'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511,1580
'([-\\w]+)\\s*:\\s*([^:;]*)'	220,454,666,707,927,1003,1122,1247,1263,1290,1469,1580,1594
'(?P<option>[^:=\\s][^:=]*)\\s*(?P<vi>[:=])\\s*(?P<value>.*)$'	12,287,381,412,602,759,852,961,1054,1087,1221,1509,1511
'(?P<delim>[^\\w\n"\'])(?P<space> ?)(?P<quote>["\']).*?(?P=quote)(?P=delim)'	12,287,412,602,759,852,961,1054,1087,1221,1509,1511,1580
