'^[\\n\\r]{0,1}'	1050,1350
'^[+]{0,1}\\d*$'	1607
'(url\\([\'"]{0,1}\\s*(.*?)["\']{0,1}\\))'	302,849,878,1086,1495,1634
'name=[\'"]{0,1}([-\\w\\.]*?)[\'"]'	247,919,1007
'    # indirect offset\n                ^\\(\n                (?P<base>&?0                  # just zero\n                        |&?[1-9]{1,1}[0-9]* # decimal\n                        |&?0[0-7]*          # octal\n                        |&?0x[0-9A-F]+      # hex\n                )\n                (?P<type>\n                        \\.         # this dot might be alone\n                        [BSL]? # one of this chars in either case\n                )?\n                (?P<sign>\n                        [-+]{0,1}\n                )?\n                (?P<off>0              # just zero\n                        |[1-9]{1,1}[0-9]*  # decimal\n                        |0[0-7]*           # octal\n                        |0x[0-9a-f]+       # hex\n                )?\n                \\)$'	1007,1015,1032
'[\\n\\r]{0,1}$'	1050,1350
'(^/dev/x{0,1}[a-z]{0,1}d{0,1})([a-z]+)[0-9]*$'	1223,1420
'((?:http|https|git)://github.com/[^/]*/[^/]*)/{0,1}'	354,379
'\x1b\\[[0]{0,1}m'	498
'[+\\-]{0,1}\\b\\d+\\b'	1108
'(.+):([0-9]+)[:]{0,1}.*'	498
'.*\\([+]{0,1}\\d{3,15}\\)$'	1607
'<p(?: [^>]*){0,1}>(.*?)</p>'	1248
'<s(?: [^>]*){0,1}>(.*?)</s>'	1248
'<[wc](?: [^>]*){0,1}>(.*?)</[wc]>'	1248
'<([wc](?: [^>]*){0,1}>)(.*?)</[wc]>'	1248
'\\,(\\s)*?(?P<size>[0-9]+)(\\s)*?(\\,){0,1}'	190
'\\,( )*?(?P<alignment>(right)|(left))( )*?(\\,){0,1}'	190
'([A-Za-z0-9_]+\\s+)+([A-Za-z0-9_:]+)\\s*\\([^)]*\\){0,1}\\s*'	498
u'():\\/\\/(\\w+:{0,1}\\w*@)?(\\S+)(:[0-9]+)?(\\/|\\/([\\w#!:.?+=&%@!\\-\\/]))?'	1557
u'[ ]{1}([01]{1}[0-9]{1}|[2]{1}[0-3]{1}|[0-9]{1})[-:.]([03]{1}[05]{1})[.,: ]{0,1}'	1113
'(ftp|http|https):\\/\\/(\\w+:{0,1}\\w*@)?(\\S+)(:[0-9]+)?(\\/|\\/([\\w#!:.?+=&%@!\\-\\/]))?'	1557
'^<((?:[a-z0-9.]*))>\\s*\n                                     ((?:[a-z0-9_.]*))\\s*\n                                     \\({0,1}\n                                     ((?:[a-z0-9,= ]*))\n                                     \\){0,1}$'	1256
