M0R0V0_CC_SEQ,M0R0V1_CC_SNG,M0R1V0_CC_SEQ,M0R1V1_CC_SNG,M0R2V0_CC_SEQ,M0R2V1_CC_SNG,M1R0V0_CCC,M1R0V1_DEFAULT,M1R1V0_CCC,M1R1V1_DEFAULT,M1R2V0_CCC,M1R2V1_DEFAULT,M2R0V0_RNG,M2R0V1_DEC,M2R1V0_RNG,M2R1V1_DEC,M2R2V0_RNG,M2R2V1_DEC,M7R0V0_WRD,M7R0V1_CCCRNG,M7R1V0_WRD,M7R1V1_CCCRNG,M7R2V0_WRD,M7R2V1_CCCRNG,M8R0V0_SEQKLE,M8R0V1_ADD,M8R1V0_SEQKLE,M8R1V1_ADD,M8R2V0_SEQKLE,M8R2V1_ADD,M9R0V0_CCC,M9R0V1_LIT,M9R1V0_CCC,M9R1V1_LIT,M9R2V0_CCC,M9R2V1_LIT
0.8,0.4,1,1,1,0.6,0.4,0.6,0.6,0.6,1,1,0.8,1,1,0.6,0.75,0.8,NA,1,0.6,0.8,0.2,0.5,0.6,1,0.6,1,1,0.6,0.8,1,1,1,0.5,0.8
0.6,1,0.6,0.8,0.6,1,0,0,0,0.4,0.6,NA,1,1,1,0.2,1,0.8,0.4,0.8,1,0.6,0.8,1,0.5,1,1,0.8,1,0.6,0.4,0.6,1,1,1,0.8
0.6,1,1,0.8,1,1,1,1,0.4,1,0.4,1,1,1,0.8,1,1,0.4,0.8,1,0.4,1,1,1,1,1,1,1,0.6,1,0.6,NA,1,0.8,1,0.25
0.4,0.6,0.8,0.8,1,0.8,1,0.5,1,1,0.6,0.8,1,0.8,0.8,1,1,1,0.8,0.6,1,0.6,0.8,1,1,0.8,0.6,0.6,0.8,1,NA,1,1,0.8,0.8,1
0.6,1,1,1,1,0,0.4,0.8,0.25,0.4,1,1,1,1,1,1,0.8,1,0.8,0.2,0.75,1,0.4,1,1,0.8,1,1,0.6,1,0.6,0.6,1,1,1,1
0.3333333333,1,1,1,1,1,0,0,1,0.4,1,1,0.5,0.6,1,1,1,1,0.8,0.6,0.8,1,0.4,0.75,1,1,1,0.6,1,1,1,0.6,1,1,1,1
0.6,0.4,0.25,0.25,0.8,1,1,1,0.6,0.4,1,1,1,1,0.8,0.6,0.8,0.4,0.8,1,0.3333333333,1,1,1,0.8,0.8,0.8,0.6,1,1,0.6,0.6,1,1,0.75,NA
1,1,1,1,1,1,1,0.4,0,1,1,1,1,0.8,1,1,1,0.8,1,0.5,1,0.8,1,0.8,0.6,0.8,0.6,1,1,1,0.5,1,1,0.6,1,1
0.6,1,1,0.8,0.8,1,1,0.6,0,1,0.6,0.8,1,1,0.4,1,1,1,0.6,1,1,0.4,1,0.8,1,0.8,1,1,1,1,0.6,1,0.8,1,1,1
0.4,1,1,1,1,0.8,1,0.6,0.6,0.4,0.6666666667,0.8,1,1,1,1,0.8,1,0.8,1,1,1,0.8,1,1,0.8,1,1,0.6,0.8,1,1,1,1,0.8,1
